ph,Turbidity,Potability
,2.9631353806316407,0
3.71608007538699,4.500656274942408,0
8.099124189298397,3.0559337496641685,0
8.316765884214679,4.628770536837084,0
9.092223456290965,4.075075425430034,0
5.584086638456089,2.5597082275565217,0
10.223862164528773,2.672988736934779,0
8.635848718500734,4.401424715445482,0
,3.5950171809576155,0
11.180284470721592,4.370561936655497,0
7.360640105838258,3.6622917828524573,0
7.974521648923869,4.011718108339787,0
7.119824384264552,3.445756223321899,0
,4.413974182974902,0
7.49623220797336,4.777382337225378,0
6.347271760539316,4.376348290691898,0
7.051785800016845,4.268428857506186,0
9.181560007151536,4.503660796179122,0
8.975464347533963,2.4360855903052734,0
7.371050302429531,2.5602991476149146,0
,4.13342264357917,0
6.660212026118103,3.7497012410996176,0
,5.459250956028731,0
3.902475685915096,4.528522696326911,0
5.400301780729467,4.824786389767524,0
6.514415093251676,5.200885076539757,0
3.4450618643852127,4.184396969028851,0
,4.004871127571583,0
,3.9915642477993067,0
,6.0381849531835865,0
7.181448580829175,5.088859989138795,0
9.82548990813439,2.857472426051184,0
10.433290982804381,5.057310516515726,0
7.414148196336244,3.160624468232638,0
,5.029166724080735,0
5.115817063771218,3.9020887676437543,0
3.641629777473381,3.4643530351550234,0
5.618064405909149,2.8965469413044738,0
,2.90756391519334,0
9.267187530763547,4.324004645618281,0
,3.510004044590529,0
5.331940479018537,4.434820257956548,0
7.145771545218821,5.182590703980226,0
9.920691058768153,4.69070723013249,0
4.758439424671477,4.542801461749175,0
5.702925976824722,4.137739016206605,0
6.953864225511059,3.195710328196264,0
10.68296642580598,3.9997753815500605,0
,4.40558600033858,0
8.757257397440991,3.6261354416122304,0
,3.0480572231069756,0
7.80963189801941,2.447444463910633,0
6.652488090855707,3.7420904263496677,0
9.147197055336921,3.7945315911032105,0
10.560744636218196,3.9646863500221285,0
7.484254837727466,4.781188176562564,0
8.520806572970303,3.9406045297946832,0
4.999413810796919,4.460683931737437,0
,4.4053857056590315,0
,4.089907689677867,0
3.9060783549561697,3.902879711657464,0
6.391353623832183,3.92374916929651,0
,3.8556022119166995,0
8.692092012708041,4.477960248233931,0
8.085759800882219,4.068688909481666,0
6.2039777022783476,5.215689206119035,0
5.058108868565138,5.106655774420084,0
,4.620793451653219,0
,3.4397400415499195,0
7.261550522070718,3.636364182680497,0
7.16046723080874,3.8848910441472793,0
5.704764776213017,4.157533407489738,0
6.21727313516034,5.325833445695803,0
8.679934969964185,3.873470298448302,0
,4.655916598688822,0
6.897322141100197,5.022783630004574,0
3.514545528745279,3.762615331099367,0
3.72250048593372,3.6628377319913588,0
6.455004797496717,2.2934314064128625,0
7.316804753880919,3.508372649783596,0
1.844538366498842,5.013463351103733,0
5.519125656437607,3.758995860323916,0
7.408985466924612,3.772420927989514,0
5.976769618087598,2.9946710955082176,0
6.395359131671062,4.191217514711704,0
6.209642259708484,3.6125196149467147,0
6.762832521891738,4.916579160751283,0
9.91871706385417,3.385508443856719,0
10.15544017022192,5.002467259922081,0
8.721726710620581,2.5550269039968736,0
,4.383921813522324,0
,3.355164642176155,0
6.099646705468387,3.1727897691528772,0
9.026787719511633,2.0190420182011657,0
6.953371603389549,3.651865808422898,0
6.140877556947864,5.359460295012964,0
7.077874006530455,4.764508264921448,0
5.488314309012512,5.066786271784542,0
7.205559174588729,3.710053125679874,0
9.177869865892433,3.1087699879134547,0
4.270716194733736,3.763905902952325,0
7.348844511550613,4.880875156180851,0
8.526169869777789,5.083014141516923,0
,3.995973787492761,0
2.612035914817261,4.765205370159007,0
8.490571562027739,3.8755568051367746,0
,3.3985925873166565,0
8.858401531200467,5.525726338121716,0
6.09815652147278,3.9773623643299727,0
8.41997068212899,3.962478314282775,0
9.286155021432371,5.239981870081682,0
7.875895135481787,4.238589203481521,0
7.7253329080747575,3.7248367036446997,0
3.388090610523891,2.798600948267049,0
6.745306715080959,3.9023525898765015,0
,5.6290156360573285,0
